,,Subject,,,295,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,4,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:56:17,765,
,,Clock,,,5,
,,Time Warp,,,1x,
554,277,705,Reg,2,ComptNbessai,   19,000,
555,277,705,Reg,12,Accuracy,   75,000,
556,277,705,Reg,13,Omission,   10,526,
557,281,860,Input,1,On1A1,,
558,281,860,Exit,1,MagEntry,1,
559,281,860,Entry,2,ITI2sec,,
560,282,530,Input,33,Off1A1,,
561,282,860,Exit,2,ITI2sec,Time,
562,282,860,List,,ITItime,   23,000,
563,282,860,Entry,23,sec3,,
564,282,860,Reg,20,stage3,    5,000,
565,288,435,Input,1,On1A1,,
566,288,775,Input,33,Off1A1,,
567,289,070,Input,1,On1A1,,
568,289,415,Input,33,Off1A1,,
569,289,525,Input,1,On1A1,,
570,289,865,Exit,23,sec3,Time,
571,289,865,Entry,3,RandomHole,,
572,290,195,Input,33,Off1A1,,
573,290,530,Input,1,On1A1,,
574,290,866,Exit,3,RandomHole,Time,
575,290,866,List,,Pseudo1a5,   14,000,
576,290,866,Entry,14,hole5,,
577,290,866,Reg,11,HoleNumber,    5,000,
578,291,195,Input,33,Off1A1,,
579,291,870,Exit,14,hole5,Time,
580,291,870,Entry,15,Holdhole5,,
581,292,030,Input,3,On1A3,,
582,292,030,Input,4,On1A4,,
583,292,030,Exit,15,Holdhole5,4,
584,292,030,Entry,17,CorrectResp,,
585,292,030,Reg,3,ComptCR,    4,000,
586,292,030,Reg,6,Reward,    4,000,
587,292,030,Reg,7,CptReward,    4,000,
588,292,030,Reg,1,ComptOmision,    0,000,
589,292,035,Exit,17,CorrectResp,Time,
590,292,035,Entry,1,MagEntry,,
591,292,035,Reg,2,ComptNbessai,   20,000,
592,292,035,Reg,12,Accuracy,   80,000,
593,292,035,Reg,13,Omission,   10,000,
594,292,370,Input,35,Off1A3,,
595,292,370,Input,36,Off1A4,,
596,292,930,Input,1,On1A1,,
597,292,930,Exit,1,MagEntry,1,
598,292,930,Entry,2,ITI2sec,,
599,293,930,Input,33,Off1A1,,
600,293,930,Exit,2,ITI2sec,Time,
601,293,930,List,,ITItime,   21,000,
602,293,930,Entry,21,sec2,,
603,293,930,Reg,19,stage2,    5,000,
604,294,245,Input,1,On1A1,,
605,294,585,Input,33,Off1A1,,
606,294,790,Input,1,On1A1,,
607,295,455,Input,33,Off1A1,,
608,295,475,Input,1,On1A1,,
609,296,145,Input,33,Off1A1,,
610,296,400,Input,1,On1A1,,
611,296,740,Input,33,Off1A1,,
612,299,935,Exit,21,sec2,Time,
613,299,935,Entry,3,RandomHole,,
614,300,935,Exit,3,RandomHole,Time,
615,300,935,List,,Pseudo1a5,   12,000,
616,300,935,Entry,12,hole4,,
617,300,935,Reg,11,HoleNumber,    4,000,
618,301,585,Input,1,On1A1,,
619,301,925,Input,33,Off1A1,,
620,301,935,Exit,12,hole4,Time,
621,301,935,Entry,13,Holdhole4,,
622,302,685,Input,2,On1A2,,
623,302,685,Input,3,On1A3,,
624,302,685,Exit,13,Holdhole4,3,
625,302,685,Entry,17,CorrectResp,,
626,302,685,Reg,3,ComptCR,    5,000,
627,302,685,Reg,6,Reward,    5,000,
628,302,685,Reg,7,CptReward,    5,000,
629,302,685,Reg,1,ComptOmision,    0,000,
630,302,690,Exit,17,CorrectResp,Time,
631,302,690,Entry,1,MagEntry,,
632,302,690,Reg,2,ComptNbessai,   21,000,
633,302,690,Reg,12,Accuracy,   83,333,
634,302,690,Reg,13,Omission,    9,524,
635,303,025,Input,34,Off1A2,,
636,303,025,Input,35,Off1A3,,
637,303,510,Input,1,On1A1,,
638,303,510,Exit,1,MagEntry,1,
639,303,510,Entry,2,ITI2sec,,
640,304,510,Exit,2,ITI2sec,Time,
641,304,510,List,,ITItime,   25,000,
642,304,510,Entry,25,sec4,,
643,304,510,Reg,21,stage4,    6,000,
644,304,835,Input,33,Off1A1,,
645,308,515,Exit,25,sec4,Time,
